Number of points: 232050
SW:(40.700000 , -74.000000)
Partition  256000000 : [   0,     0]
Partition  674000000 : [   0,     0]
Partition   86000000 : [   0,     0]
Partition  286000000 : [   0,     0]
Partition  296000000 : [   0,     0]
Partition  306000000 : [   0,     0]
Partition  316000000 : [   0,     0]
Partition  326000000 : [   0,     0]
Partition  336000000 : [   0,     1]
Partition  346000000 : [   0,     1]
Partition  356000000 : [   0,     1]
Partition  176000000 : [   0,     0]
Partition   16000000 : [   0,     3]
Partition  624000000 : [   0,     0]
Partition   26000000 : [   0,     4]
Partition  396000000 : [   0,     0]
Partition  376000000 : [   0,     0]
Partition  386000000 : [   0,     0]
Partition  445000000 : [   0,     0]
Partition  436000000 : [   0,     9]
Partition  456000000 : [   0,     2]
Partition  466000000 : [   0,     1]
Partition  476000000 : [   0,     1]
Partition  486000000 : [   0,     0]
Partition  325000000 : [   0,     0]
Partition  496000000 : [   0,     0]
Partition  406000000 : [   0,     0]
Partition  526000000 : [   0,     0]
Partition  536000000 : [   0,     0]
Partition  546000000 : [   0,     0]
Partition  556000000 : [   0,     0]
Partition  366000000 : [   0,     0]
Partition  555000000 : [   0,     0]
Partition  586000000 : [   0,     0]
Partition  596000000 : [   0,     0]
Partition  606000000 : [   0,     1]
Partition  616000000 : [   0,     0]
Partition  166000000 : [   0,     0]
Partition  564000000 : [   0,     0]
Partition  646000000 : [   0,     1]
Partition  656000000 : [   0,     0]
Partition  666000000 : [   0,     0]
Partition  676000000 : [   0,     0]
Partition  686000000 : [   0,     0]
Partition  696000000 : [   0,     0]
Partition  706000000 : [   0,     0]
Partition  716000000 : [   0,     0]
Partition  726000000 : [   0,     0]
Partition  736000000 : [   0,     0]
Partition  116000000 : [   0,     0]
Partition  276000000 : [   0,     0]
Partition   17000000 : [   0,     0]
Partition   27000000 : [   0,     2]
Partition   37000000 : [   0,     7]
Partition  626000000 : [   0,     0]
Partition   57000000 : [   0,     1]
Partition   67000000 : [   0,     1]
Partition  266000000 : [   0,     0]
Partition  645000000 : [   0,     0]
Partition   97000000 : [   0,     2]
Partition  107000000 : [   0,     2]
Partition  735000000 : [   0,     0]
Partition  127000000 : [   0,     0]
Partition  137000000 : [   0,     0]
Partition  147000000 : [   0,     1]
Partition  157000000 : [   0,     0]
Partition  167000000 : [   0,     0]
Partition  177000000 : [   0,     0]
Partition  187000000 : [   0,     0]
Partition  197000000 : [   0,     1]
Partition  345000000 : [   0,     3]
Partition  217000000 : [   0,     1]
Partition  227000000 : [   0,     1]
Partition   47000000 : [   1,    10]
Partition  247000000 : [   0,     0]
Partition  257000000 : [   0,     0]
Partition  267000000 : [   0,     0]
Partition  277000000 : [   0,     0]
Partition  287000000 : [   0,     0]
Partition  297000000 : [   0,     0]
Partition  307000000 : [   0,     0]
Partition  636000000 : [   0,     0]
Partition  317000000 : [   0,     0]
Partition  337000000 : [   0,     1]
Partition  347000000 : [   0,     1]
Partition  357000000 : [   0,     2]
Partition  367000000 : [   0,     3]
Partition  377000000 : [   0,     2]
Partition    7000000 : [   0,     1]
Partition  205000000 : [   0,     0]
Partition  397000000 : [   1,    10]
Partition  417000000 : [   0,     4]
Partition  427000000 : [   0,     8]
Partition  237000000 : [   0,     0]
Partition   87000000 : [   0,     6]
Partition  457000000 : [   0,     2]
Partition  467000000 : [   0,     1]
Partition  477000000 : [   0,     1]
Partition  447000000 : [   1,    12]
Partition  497000000 : [   0,     1]
Partition  327000000 : [   0,     0]
Partition  566000000 : [   0,     0]
Partition  207000000 : [   0,     0]
Partition  387000000 : [   0,     3]
Partition  576000000 : [   0,     0]
Partition  665000000 : [   0,     0]
Partition  567000000 : [   0,     0]
Partition  507000000 : [   0,     1]
Partition  537000000 : [   0,     0]
Partition  597000000 : [   0,     0]
Partition  607000000 : [   0,     0]
Partition  407000000 : [   1,     9]
Partition  437000000 : [   0,    12]
Partition  637000000 : [   0,     0]
Partition  647000000 : [   0,     0]
Partition  657000000 : [   0,     0]
Partition  667000000 : [   0,     0]
Partition  677000000 : [   0,     0]
Partition  687000000 : [   0,     0]
Partition  416000000 : [   0,     1]
Partition  577000000 : [   0,     0]
Partition  527000000 : [   0,     1]
Partition  426000000 : [   0,     2]
Partition  737000000 : [   0,     0]
Partition  717000000 : [   0,     0]
Partition  547000000 : [   0,     0]
Partition   18000000 : [   0,     3]
Partition   28000000 : [   0,     4]
Partition  617000000 : [   0,     0]
Partition   38000000 : [   0,     5]
Partition   58000000 : [   0,     0]
Partition   68000000 : [   0,     0]
Partition   78000000 : [   0,     2]
Partition   88000000 : [   0,     6]
Partition   98000000 : [   0,     1]
Partition  108000000 : [   0,     2]
Partition  118000000 : [   0,     1]
Partition  627000000 : [   0,     0]
Partition  128000000 : [   0,     1]
Partition  516000000 : [   0,     0]
Partition  158000000 : [   0,     0]
Partition  168000000 : [   0,     0]
Partition  178000000 : [   0,     0]
Partition  188000000 : [   0,     0]
Partition  198000000 : [   0,     1]
Partition  208000000 : [   0,     0]
Partition  446000000 : [   0,     8]
Partition  746000000 : [   0,     0]
Partition   75000000 : [   0,     1]
Partition  248000000 : [   0,     0]
Partition  587000000 : [   0,     0]
Partition  268000000 : [   0,     0]
Partition  278000000 : [   0,     0]
Partition  288000000 : [   0,     0]
Partition  298000000 : [   0,     0]
Partition  308000000 : [   0,     0]
Partition  318000000 : [   0,     0]
Partition  747000000 : [   0,     0]
Partition  148000000 : [   0,     1]
Partition  348000000 : [   0,     1]
Partition  358000000 : [   0,     2]
Partition  368000000 : [   0,     4]
Partition   77000000 : [   0,     0]
Partition    8000000 : [   0,     9]
Partition  557000000 : [   0,     0]
Partition  398000000 : [   0,     9]
Partition  418000000 : [   0,     4]
Partition  218000000 : [   0,     1]
Partition  428000000 : [   1,    15]
Partition  448000000 : [   0,     5]
Partition  117000000 : [   0,     1]
Partition  727000000 : [   0,     0]
Partition  258000000 : [   0,     0]
Partition  478000000 : [   0,     0]
